Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Long Statement,The length of the statement "errorResponse.setMessage("The specified multipart upload does not exist. The upload ID might be " + "invalid` or the multipart upload might have been aborted or completed.");" is 174.,396
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Long Statement,The length of the statement "mockMvc.perform(post("/testBucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isNotFound()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 299.,396
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Magic Number,The method contains a magic number: 5L,396
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_uploadIdNotFound,Magic Number,The method contains a magic number: 5L,396
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_partNotFound,Long Statement,The length of the statement "errorResponse.setMessage("One or more of the specified parts could not be found. The part might " + "not have been uploaded` or the specified entity tag might not have matched the " + "part's "+ "entity tag.");" is 210.,428
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_partNotFound,Long Statement,The length of the statement "mockMvc.perform(post("/testBucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 301.,428
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_partNotFound,Magic Number,The method contains a magic number: 5L,428
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_partNotFound,Magic Number,The method contains a magic number: 5L,428
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Long Statement,The length of the statement "errorResponse.setMessage("The list of parts was not in ascending order. The parts list must be " + "specified in order by part number.");" is 137.,464
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Long Statement,The length of the statement "mockMvc.perform(post("/testBucket/" + key).accept(MediaType.APPLICATION_XML).content(MAPPER.writeValueAsString(uploadRequest)).param("uploadId"`uploadId)).andExpect(MockMvcResultMatchers.status().isBadRequest()).andExpect(MockMvcResultMatchers.content().xml(MAPPER.writeValueAsString(errorResponse)));" is 301.,464
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Magic Number,The method contains a magic number: 10000000L,464
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Magic Number,The method contains a magic number: 10000000L,464
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Magic Number,The method contains a magic number: 5L,464
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCompleteMultipart_BadRequest_invalidPartOrder,Magic Number,The method contains a magic number: 5L,464
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testGetObject_Encrypted_Ok,Long Statement,The length of the statement "mockMvc.perform(get("/testBucket/" + key)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION`encryption)).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID`encryptionKey));" is 290.,500
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testHeadObject_Encrypted_Ok,Long Statement,The length of the statement "mockMvc.perform(head("/testBucket/" + key)).andExpect(MockMvcResultMatchers.status().isOk()).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION`encryption)).andExpect(MockMvcResultMatchers.header().string(X_AMZ_SERVER_SIDE_ENCRYPTION_AWS_KMS_KEY_ID`encryptionKey));" is 291.,519
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,data,Long Statement,The length of the statement "return Arrays.asList(param(null`null).keys(ALL_OBJECTS)`param(""`null).keys(ALL_OBJECTS)`param(null`"").keys(ALL_OBJECTS)`param(null`"/").keys("a"`"b"`"d:1"`"d:1:1"`"eor.txt").prefixes("3330/"`"foo/"`"c/"`"b/"`"33309/")`param(""`"").keys(ALL_OBJECTS)`param("/"`null)`param("b"`null).keys("b"`"b/1"`"b/1/1"`"b/1/2"`"b/2")`param("b/"`null).keys("b/1"`"b/1/1"`"b/1/2"`"b/2")`param("b"`"").keys("b"`"b/1"`"b/1/1"`"b/1/2"`"b/2")`param("b"`"/").keys("b").prefixes("b/")`param("b/"`"/").keys("b/1"`"b/2").prefixes("b/1/")`param("b/1"`"/").keys("b/1").prefixes("b/1/")`param("b/1/"`"/").keys("b/1/1"`"b/1/2")`param("c"`"/").prefixes("c/")`param("c/"`"/").keys("c/1").prefixes("c/1/")`param("eor"`"/").keys("eor.txt"));" is 710.,588
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCommonPrefixesAndBucketContentFilter,Long Statement,The length of the statement "assertThat(commonPrefixes).as("Returned prefixes are correct").containsExactlyInAnyOrderElementsOf(Arrays.asList(expectedPrefixes));" is 132.,614
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCommonPrefixesAndBucketContentFilter,Long Statement,The length of the statement "assertThat(filteredBucketContents.stream().map(S3Object::getKey).collect(toList())).as("Returned keys are correct").containsExactlyInAnyOrderElementsOf(Arrays.asList(expectedKeys));" is 181.,614
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCommonPrefixesNoPrefixDelimiter,Magic Number,The method contains a magic number: 5,659
S3Mock,com.adobe.testing.s3mock,FileStoreControllerTest,testCommonPrefixesPrefixDelimiter,Magic Number,The method contains a magic number: 2,669
S3Mock,com.adobe.testing.s3mock,TaggingHeaderConverterTest,testMultipleTagConversion,Magic Number,The method contains a magic number: 2,37
S3Mock,com.adobe.testing.s3mock.store,FileStore,bucketFromPath,Long Statement,The length of the statement "result=new Bucket(path`path.getFileName().toString()`S3_OBJECT_DATE_FORMAT.format(attributes.creationTime().toInstant()));" is 122.,204
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3Object,Long Parameter List,The method has 6 parameters. ,220
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3Object,Long Statement,The length of the statement "return putS3Object(bucketName`fileName`contentType`contentEncoding`dataStream`useV4ChunkedWithSigningFormat`Collections.emptyMap()`null`null);" is 142.,220
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3Object,Long Parameter List,The method has 7 parameters. ,246
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3Object,Long Statement,The length of the statement "return putS3Object(bucketName`fileName`contentType`contentEncoding`dataStream`useV4ChunkedWithSigningFormat`userMetadata`null`null);" is 132.,246
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3Object,Long Parameter List,The method has 9 parameters. ,275
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3Object,Long Statement,The length of the statement "final File dataFile=inputStreamToFile(wrapStream(dataStream`useV4ChunkedWithSigningFormat)`objectRootFolder.toPath().resolve(DATA_FILE));" is 137.,275
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3ObjectWithKMSEncryption,Long Parameter List,The method has 7 parameters. ,344
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3ObjectWithKMSEncryption,Long Statement,The length of the statement "return putS3Object(bucketName`fileName`contentType`null`dataStream`useV4ChunkedWithSigningFormat`Collections.emptyMap()`encryption`kmsKeyId);" is 141.,344
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3ObjectWithKMSEncryption,Long Parameter List,The method has 8 parameters. ,371
S3Mock,com.adobe.testing.s3mock.store,FileStore,putS3ObjectWithKMSEncryption,Long Statement,The length of the statement "return putS3Object(bucketName`fileName`contentType`null`dataStream`useV4ChunkedWithSigningFormat`userMetadata`encryption`kmsKeyId);" is 131.,371
S3Mock,com.adobe.testing.s3mock.store,FileStore,inputStreamToFile,Magic Number,The method contains a magic number: 1024,492
S3Mock,com.adobe.testing.s3mock.store,FileStore,getS3Objects,Long Statement,The length of the statement "final Set<Path> collect=directoryHierarchy.filter(path -> path.toFile().isDirectory()).map(path -> theBucket.getPath().relativize(path)).filter(path -> isBlank(prefix) || (null != normalizedPrefix && path.toString().startsWith(normalizedPrefix))).collect(toSet());" is 264.,588
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyS3Object,Long Statement,The length of the statement "return copyS3ObjectEncrypted(sourceBucketName`sourceObjectName`destinationBucketName`destinationObjectName`null`null`Collections.emptyMap());" is 141.,628
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyS3Object,Long Parameter List,The method has 5 parameters. ,649
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyS3Object,Long Statement,The length of the statement "return copyS3ObjectEncrypted(sourceBucketName`sourceObjectName`destinationBucketName`destinationObjectName`null`null`userMetadata);" is 131.,649
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyS3ObjectEncrypted,Long Parameter List,The method has 6 parameters. ,674
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyS3ObjectEncrypted,Long Statement,The length of the statement "return copyS3ObjectEncrypted(sourceBucketName`sourceObjectName`destinationBucketName`destinationObjectName`encryption`kmsKeyId`Collections.emptyMap());" is 151.,674
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyS3ObjectEncrypted,Long Parameter List,The method has 7 parameters. ,698
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyS3ObjectEncrypted,Long Statement,The length of the statement "final S3Object copiedObject=putS3Object(destinationBucketName`destinationObjectName`sourceObject.getContentType()`sourceObject.getContentEncoding()`new FileInputStream(sourceObject.getDataFile())`false`copyUserMetadata`encryption`kmsKeyId);" is 240.,698
S3Mock,com.adobe.testing.s3mock.store,FileStore,prepareMultipartUpload,Long Parameter List,The method has 8 parameters. ,808
S3Mock,com.adobe.testing.s3mock.store,FileStore,prepareMultipartUpload,Long Parameter List,The method has 7 parameters. ,839
S3Mock,com.adobe.testing.s3mock.store,FileStore,prepareMultipartUpload,Long Statement,The length of the statement "return prepareMultipartUpload(bucketName`fileName`contentType`contentEncoding`uploadId`owner`initiator`Collections.emptyMap());" is 127.,839
S3Mock,com.adobe.testing.s3mock.store,FileStore,listMultipartUploads,Long Statement,The length of the statement "return uploadIdToInfo.values().stream().filter(info -> bucketName == null || bucketName.equals(info.bucket)).map(info -> info.upload).collect(Collectors.toList());" is 163.,871
S3Mock,com.adobe.testing.s3mock.store,FileStore,getMultipartUpload,Long Statement,The length of the statement "return uploadIdToInfo.values().stream().filter(info -> uploadId.equals(info.upload.getUploadId())).map(info -> info.upload).findFirst().orElseThrow(() -> new IllegalArgumentException("No MultipartUpload found with uploadId"));" is 226.,884
S3Mock,com.adobe.testing.s3mock.store,FileStore,putPart,Long Parameter List,The method has 6 parameters. ,924
S3Mock,com.adobe.testing.s3mock.store,FileStore,putPart,Long Statement,The length of the statement "try (final DigestInputStream digestingInputStream=new DigestInputStream(wrapStream(inputStream`useV4ChunkedWithSigningFormat)`MessageDigest.getInstance("MD5"))){" is 161.,924
S3Mock,com.adobe.testing.s3mock.store,FileStore,putPart,Long Statement,The length of the statement "inputStreamToFile(digestingInputStream`Paths.get(rootFolder.getAbsolutePath()`bucketName`fileName`uploadId`partNumber + PART_SUFFIX));" is 134.,924
S3Mock,com.adobe.testing.s3mock.store,FileStore,completeMultipartUpload,Long Parameter List,The method has 6 parameters. ,973
S3Mock,com.adobe.testing.s3mock.store,FileStore,listAndSortPartsInFromDirectory,Long Statement,The length of the statement "Arrays.sort(partNames != null ? partNames : new String[0]`Comparator.comparingInt(s -> Integer.parseInt(s.substring(0`s.indexOf(PART_SUFFIX)))));" is 145.,1047
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyPart,Long Parameter List,The method has 7 parameters. ,1192
S3Mock,com.adobe.testing.s3mock.store,FileStore,copyPart,Long Statement,The length of the statement "try (final InputStream sourceStream=FileUtils.openInputStream(s3Object.getDataFile());final OutputStream targetStream=new FileOutputStream(partFile)){" is 150.,1224
S3Mock,com.adobe.testing.s3mock.store,FileStore,ensurePartFile,Long Statement,The length of the statement "final File partFile=Paths.get(rootFolder.getAbsolutePath()`destinationBucket`destinationFilename`uploadId`partNumber + PART_SUFFIX).toFile();" is 141.,1246
S3Mock,com.adobe.testing.s3mock.store,FileStore,verifyMultipartUploadPreparation,Complex Conditional,The conditional expression multipartUploadInfo == null || !partsFolder.toFile().exists() || !partsFolder.toFile().isDirectory() is complex.,1262
S3Mock,com.adobe.testing.s3mock.store,MultipartUploadInfo,MultipartUploadInfo,Long Parameter List,The method has 5 parameters. ,33
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,bucketShouldExist,Long Statement,The length of the statement "assertThat(doesBucketExist).as(String.format("The previously created bucket` '%s'` should exist!"`TEST_BUCKET_NAME)).isTrue();" is 126.,103
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldHoldAllBuckets,Magic Number,The method contains a magic number: 3,129
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldStoreFileInBucket,Long Statement,The length of the statement "final S3Object returnedObject=fileStore.putS3Object(TEST_BUCKET_NAME`name`null`ENCODING_GZIP`new FileInputStream(sourceFile)`false);" is 132.,162
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldStoreFileInBucket,Long Statement,The length of the statement "assertThat(returnedObject.getContentType()).as("ContentType should be '" + "binary/octet-stream" + "'").isEqualTo("binary/octet-stream");" is 137.,162
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldStoreFileInBucket,Long Statement,The length of the statement "assertThat(returnedObject.getContentEncoding()).as("ContentEncoding should be '" + ENCODING_GZIP + "'").isEqualTo(ENCODING_GZIP);" is 129.,162
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldStoreFileInBucket,Long Statement,The length of the statement "assertThat(contentOf(sourceFile`UTF_8)).as("Files should be equal").isEqualTo(contentOf(returnedObject.getDataFile()`UTF_8));" is 125.,162
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldStoreObjectEncrypted,Long Statement,The length of the statement "final S3Object storedObject=fileStore.putS3Object(TEST_BUCKET_NAME`name`contentType`null`new ByteArrayInputStream(SIGNED_CONTENT.getBytes(UTF_8))`true`Collections.emptyMap()`TEST_ENC_TYPE`TEST_ENC_KEY);" is 202.,191
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldGetEncryptedObject,Long Statement,The length of the statement "fileStore.putS3Object(TEST_BUCKET_NAME`name`contentType`null`new ByteArrayInputStream(SIGNED_CONTENT.getBytes(UTF_8))`true`Collections.emptyMap()`TEST_ENC_TYPE`TEST_ENC_KEY);" is 174.,224
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldGetFile,Long Statement,The length of the statement "assertThat(returnedObject.getContentEncoding()).as("ContentEncoding should be '" + ENCODING_GZIP + "'").isEqualTo(ENCODING_GZIP);" is 129.,257
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldGetFile,Long Statement,The length of the statement "assertThat(contentOf(sourceFile`UTF_8)).as("Files should be equal").isEqualTo(contentOf(returnedObject.getDataFile()`UTF_8));" is 125.,257
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldGetFileWithSlashAtStart,Long Statement,The length of the statement "assertThat(returnedObject.getContentEncoding()).as("ContentEncoding should be '" + ENCODING_GZIP + "'").isEqualTo(ENCODING_GZIP);" is 129.,289
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldGetFileWithSlashAtStart,Long Statement,The length of the statement "assertThat(contentOf(sourceFile`UTF_8)).as("Files should be equal").isEqualTo(contentOf(returnedObject.getDataFile()`UTF_8));" is 125.,289
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldCopyObject,Long Statement,The length of the statement "assertThat(contentOf(sourceFile`UTF_8)).as("Files should be equal!").isEqualTo(contentOf(copiedObject.getDataFile()`UTF_8));" is 124.,347
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldCopyObjectEncrypted,Long Statement,The length of the statement "fileStore.copyS3ObjectEncrypted(sourceBucketName`sourceObjectName`destinationBucketName`destinationObjectName`TEST_ENC_TYPE`TEST_ENC_KEY);" is 138.,375
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldCopyObjectEncrypted,Long Statement,The length of the statement "assertThat(copiedObject.getSize()).as("Files should have the same length").isEqualTo(String.valueOf(sourceFile.length()));" is 122.,375
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldCreateMultipartUploadFolder,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,454
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldCreateMultipartUploadFolder,Long Statement,The length of the statement "final File destinationFolder=Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`uploadId).toFile();" is 128.,454
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldCreateMultipartUploadFolderIfBucketExists,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,473
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldCreateMultipartUploadFolderIfBucketExists,Long Statement,The length of the statement "final File destinationFolder=Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`uploadId).toFile();" is 128.,473
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldStorePart,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,492
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldStorePart,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`uploadId`partNumber + ".part").toFile().exists()).as("Part does not exist!").isTrue();" is 177.,492
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldFinishUpload,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,514
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldFinishUpload,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`"fileData").toFile().exists()).as("File does not exist!").isTrue();" is 158.,514
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldFinishUpload,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`"metadata").toFile().exists()).as("Metadata does not exist!").isTrue();" is 162.,514
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,shouldFinishUpload,Magic Number,The method contains a magic number: 2,514
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,hasValidMetadata,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,546
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,hasValidMetadata,Magic Number,The method contains a magic number: 2,546
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,returnsValidPartsFromMultipart,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,576
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,returnsValidPartsFromMultipart,Magic Number,The method contains a magic number: 2,576
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,returnsValidPartsFromMultipart,Magic Number,The method contains a magic number: 2,576
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,deletesTemporaryMultipartUploadFolder,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,615
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,deletesTemporaryMultipartUploadFolder,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`uploadId).toFile().exists()).as("Folder should not exist anymore!").isFalse();" is 169.,615
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,listsMultipartUploads,Long Statement,The length of the statement "final MultipartUpload initiatedUpload=fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 164.,633
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,listsMultipartUploadsMultipleBuckets,Long Statement,The length of the statement "final MultipartUpload initiatedUpload1=fileStore.prepareMultipartUpload(bucketName1`fileName1`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId1`TEST_OWNER`TEST_OWNER);" is 162.,656
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,listsMultipartUploadsMultipleBuckets,Long Statement,The length of the statement "final MultipartUpload initiatedUpload2=fileStore.prepareMultipartUpload(bucketName2`fileName2`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId2`TEST_OWNER`TEST_OWNER);" is 162.,656
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,abortMultipartUpload,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`fileName`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 126.,695
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,abortMultipartUpload,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`"fileData").toFile().exists()).as("File exists!").isFalse();" is 151.,695
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,abortMultipartUpload,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`"metadata").toFile().exists()).as("Metadata exists!").isFalse();" is 155.,695
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,abortMultipartUpload,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`fileName`uploadId).toFile().exists()).as("Temp upload folder exists!").isFalse();" is 163.,695
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,copyPart,Long Statement,The length of the statement "fileStore.putS3Object(TEST_BUCKET_NAME`sourceFile`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`new ByteArrayInputStream(contentBytes)`false);" is 131.,724
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,copyPart,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`targetFile`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 128.,724
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,copyPart,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`targetFile`uploadId`partNumber + ".part").toFile().exists()).as("Part does not exist!").isTrue();" is 179.,724
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,copyPartNoRange,Long Statement,The length of the statement "fileStore.putS3Object(TEST_BUCKET_NAME`sourceFile`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`new ByteArrayInputStream(contentBytes)`false);" is 131.,754
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,copyPartNoRange,Long Statement,The length of the statement "fileStore.prepareMultipartUpload(TEST_BUCKET_NAME`targetFile`DEFAULT_CONTENT_TYPE`ENCODING_GZIP`uploadId`TEST_OWNER`TEST_OWNER);" is 128.,754
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,copyPartNoRange,Long Statement,The length of the statement "assertThat(Paths.get(fileStore.getRootFolder().getAbsolutePath()`TEST_BUCKET_NAME`targetFile`uploadId`partNumber + ".part").toFile().exists()).as("Part does not exist!").isTrue();" is 179.,754
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,missingUploadPreparation,Long Statement,The length of the statement "IllegalStateException e=Assertions.assertThrows(IllegalStateException.class`() -> fileStore.copyPart(TEST_BUCKET_NAME`UUID.randomUUID().toString()`range`"1"`TEST_BUCKET_NAME`UUID.randomUUID().toString()`UUID.randomUUID().toString()));" is 234.,784
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,getObjectsForPartialPrefix,Long Statement,The length of the statement "fileStore.putS3Object(TEST_BUCKET_NAME`"foo_bar_baz"`TEXT_PLAIN`ENCODING_GZIP`new FileInputStream(TEST_FILE_PATH)`false);" is 121.,820
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,multipartUploadPartsAreSortedNumerically,Magic Number,The method contains a magic number: 11,867
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,multipartUploadPartsAreSortedNumerically,Magic Number,The method contains a magic number: 10,867
S3Mock,com.adobe.testing.s3mock.store,FileStoreTest,multipartUploadPartsAreSortedNumerically,Magic Number,The method contains a magic number: 10,867
S3Mock,com.adobe.testing.s3mock.util,AwsChunkedDecodingInputStream,read,Magic Number,The method contains a magic number: 16,71
S3Mock,com.adobe.testing.s3mock.util,AwsChunkedDecodingInputStream,readUntil,Magic Number,The method contains a magic number: 0xFF,99
S3Mock,com.adobe.testing.s3mock.util,DigestUtil,getBytes,Magic Number,The method contains a magic number: 1024,115
S3Mock,com.adobe.testing.s3mock.util,MetadataUtil,getUserMetadata,Long Statement,The length of the statement "return Collections.list(request.getHeaderNames()).stream().filter(header -> header.startsWith(HEADER_X_AMZ_META_PREFIX)).collect(Collectors.toMap(header -> header.substring(HEADER_X_AMZ_META_PREFIX.length())`request::getHeader));" is 229.,44
S3Mock,com.adobe.testing.s3mock.util,RangeTest,convertsValidRange,Magic Number,The method contains a magic number: 10L,27
S3Mock,com.adobe.testing.s3mock.util,RangeTest,convertsValidRange,Magic Number,The method contains a magic number: 35L,27
S3Mock,com.adobe.testing.s3mock.util,RangeTest,convertRangeWithRangeEndUndefined,Magic Number,The method contains a magic number: 10L,36
S3Mock,com.adobe.testing.s3mock.util,StringEncodingTest,testKeyEncoding,Magic Number,The method contains a magic number: 0x12ab,27
S3Mock,com.adobe.testing.s3mock.util,StringEncodingTest,testKeyEncoding,Magic Number,The method contains a magic number: 0x7f,27
S3Mock,com.adobe.testing.s3mock.util,StringEncodingTest,testKeyDecoding,Magic Number,The method contains a magic number: 0x12ab,46
S3Mock,com.adobe.testing.s3mock.util,StringEncodingTest,testKeyDecoding,Magic Number,The method contains a magic number: 0x7f,46
